Version, Time Per 1000 runs (ms), Total Runs, Total Time (ms), Runs Per Update
0.0.1-10.24.24-10:45,493.6,10000,4936.0,1000
0.0.1-10.24.24-10:45,482.7,10000,4827.0,1000
0.0.1-10.24.24-10:45,495.2,10000,4952.0,1000
0.0.1-10.24.24-10:45,513.2,10000,5132.0,1000
0.0.1-10.24.24-10:45,513.5,10000,5135.0,1000
0.0.1-10.24.24-10:45,549.44,100000,54944.0,100000
0.0.1-10.24.24-10:45,549.45,100000,54945.0,100000
0.0.1-10.24.24-10:45,576.79,100000,57679.0,100000
0.0.1-10.24.24-10:45,620.3,100000,62030.0,100000
0.0.1-10.24.24-10:45,575.18,100000,57518.0,100000
0.0.1-10.24.24-10:45,548.92,100000,54892.0,1000
0.0.1-10.24.24-10:45,547.26,100000,54726.0,1000
0.0.1-10.24.24-10:45,536.58,100000,53658.0,1000
0.0.1-10.24.24-10:45,529.38,100000,52938.0,1000
0.0.1-10.24.24-10:45,514.92,100000,51492.0,1000

0.1.11-11.1.24-10:49,164.3,10000,1643.0,1000
0.1.11-11.1.24-10:49,160.9,10000,1609.0,1000
0.1.11-11.1.24-10:49,169.5,10000,1695.0,1000
0.1.11-11.1.24-10:49,180.2,10000,1802.0,1000
0.1.11-11.1.24-10:49,165.6,10000,1656.0,1000
0.1.11-11.1.24-10:49,195.18,100000,19518.0,100000
0.1.11-11.1.24-10:49,206.55,100000,20655.0,100000
0.1.11-11.1.24-10:49,196.32,100000,19632.0,100000
0.1.11-11.1.24-10:49,189.1,100000,18910.0,100000
0.1.11-11.1.24-10:49,182.04,100000,18204.0,100000
0.1.11-11.1.24-10:49,186.18,100000,18618.0,1000
0.1.11-11.1.24-10:49,192.0,100000,19200.0,1000
0.1.11-11.1.24-10:49,187.59,100000,18759.0,1000
0.1.11-11.1.24-10:49,180.38,100000,18038.0,1000
0.1.11-11.1.24-10:49,184.41,100000,18441.0,1000

0.1.12-11.2.24-11:52,173.28,100000,17328.0,1000
0.1.12-11.2.24-11:52,174.65,100000,17465.0,1000
0.1.12-11.2.24-11:52,165.38,100000,16538.0,1000
0.1.12-11.2.24-11:52,175.42,100000,17542.0,1000
0.1.12-11.2.24-11:52,189.94,100000,18994.0,1000
0.1.12-11.2.24-11:52,182.1,100000,18210.0,100000
0.1.12-11.2.24-11:52,183.33,100000,18333.0,100000
0.1.12-11.2.24-11:52,184.65,100000,18465.0,100000
0.1.12-11.2.24-11:52,176.36,100000,17636.0,100000
0.1.12-11.2.24-11:52,166.89,100000,16689.0,100000
0.1.12-11.2.24-11:52,162.22033898305085,59000,9571.0,1000
