Version, Total Wins + Draws Proportion, Total Wins + 1/2 * Draws Proportion, Total Score Difference, Total Wins, Total Draws, Total Losses, Time Per 1000 runs (ms), Total Runs, Total Time (ms), Runs Per Update, Iterations Per Look Ahead, m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59
0.1.20,0.5254237288135594,0.5084745762711864,-118,29,2,28,1786745.7627118644,59,105418.0,1,100,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,-6,-26,20,-34,-4,-14,18,-2,4,0,2,26,8,26,-22,2,-8,8,2,38,-10,12,-6,2,-16,-14,-32,-14,30,8,22,-14,4,2,6,22,12,-12,-26,2,-38,-22,8,20,-28,-8,0,2,8,-20,24,-28,16,-28,-2,-10,-22,-12,6
0.1.20,0.5254237288135594,0.5169491525423728,68,30,1,28,1784152.5423728814,59,105265.0,1,100,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,16,8,-18,-2,18,-30,-22,30,-8,4,-8,-6,26,6,16,30,6,-14,-6,-6,6,-20,20,16,15,-12,2,4,-26,6,-28,-12,10,-8,11,28,-6,30,-2,2,14,2,-24,-8,2,8,22,-6,26,-14,38,28,0,-12,-26,-4,-30,-2,-22
0.1.20,0.559322033898305,0.5508474576271186,156,32,1,26,1737203.3898305085,59,102495.0,1,100,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,-8,20,4,26,-6,20,10,34,2,-20,8,-2,26,0,-4,18,10,-2,8,-24,16,4,-6,-2,-4,-18,8,12,2,-20,-14,24,-2,8,36,-12,-18,-16,16,-20,-6,2,-20,14,12,8,-12,-24,-12,4,-2,-24,22,10,26,14,16,-8,22
0.1.20,0.423728813559322,0.3983050847457627,-174,22,3,34,1744491.5254237289,59,102925.0,1,100,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,-36,-16,16,-14,-6,28,8,-20,10,-2,0,2,8,-2,-2,-16,-20,16,10,-8,2,-8,-2,6,22,10,-8,-10,-6,-28,-18,-22,-12,18,-2,-10,-26,2,18,-14,0,6,-4,20,12,-2,4,4,-10,-8,-6,-36,0,-18,-28,36,-8,-6,2
0.1.20,0.4576271186440678,0.4576271186440678,-84,27,0,32,1771000.0,59,104489.0,1,100,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,-42,8,-14,-4,24,12,-4,-22,16,-14,12,-20,24,6,4,20,-20,-4,-2,26,10,-26,8,6,18,-18,-32,-10,-2,18,-6,-20,28,-8,-10,-28,-14,-2,4,12,32,8,2,-12,-28,-10,2,-6,28,6,-18,-2,-28,24,6,-26,22,-6,-12
0.1.18,0.5423728813559322,0.5245762711864407,823,299,21,270,61945.76271186441,590,36548.0,10,100,6,5,6,4,5,6,5,7,7,5,4,8,4,4,4,6,4,6,5,5,4,4,8,9,6,7,7,3,6,3,3,7,7,7,5,6,5,5,2,3,3,6,2,7,6,7,4,2,7,6,4,7,8,6,7,4,6,8,7,6,5,6,4,3,6,5,7,6,5,4,8,4,4,4,6,4,6,4,5,4,4,8,7,5,7,7,3,6,3,3,7,6,5,5,6,5,5,2,3,3,5,1,7,6,7,4,2,5,6,3,6,7,6,7,4,3,7,7,20,-6,22,0,-30,2,4,132,6,-10,-12,92,-20,-24,38,-18,-46,44,-22,34,-44,9,60,102,4,50,66,-76,87,-32,-42,29,88,20,8,54,2,8,-92,-60,-82,-24,-96,25,80,68,38,-128,-2,30,-26,78,132,82,66,12,-3,108,18
0.1.18,0.5474576271186441,0.5296610169491526,600,302,21,267,55137.28813559322,590,32531.0,10,100,3,4,4,7,6,5,6,9,7,7,4,9,4,5,6,7,3,8,5,5,4,5,4,8,8,6,3,8,5,4,7,3,2,5,5,3,5,6,3,9,3,7,6,5,7,4,10,6,6,7,4,6,5,6,4,5,7,6,2,3,4,4,5,6,5,6,9,6,5,4,8,4,5,5,5,3,8,4,5,4,5,4,8,8,6,3,8,5,4,6,3,2,5,5,3,5,6,3,9,3,7,6,3,6,4,8,6,6,7,4,6,3,6,2,5,7,5,2,-92,-48,0,26,66,-46,93,130,58,-12,28,156,-10,28,-8,-2,-92,124,-12,-10,-16,14,-50,58,82,32,-93,104,-14,6,56,-104,-102,52,22,-44,-54,86,-106,148,-80,56,38,-40,40,-52,138,88,-14,20,-36,68,-5,24,-14,8,-15,24,-102
0.1.18,0.49830508474576274,0.48135593220338985,-589,274,20,296,55457.627118644064,590,32720.0,10,100,5,6,5,4,5,7,5,4,4,3,3,6,7,6,4,3,3,5,8,2,2,5,4,6,7,5,5,5,5,3,4,3,4,5,3,4,6,6,3,6,6,6,5,7,4,7,7,5,2,6,6,5,6,8,6,6,6,2,8,4,5,4,4,4,7,5,4,4,3,3,6,6,6,3,3,3,5,7,2,2,5,3,5,7,5,5,5,5,2,3,3,4,5,3,4,6,6,3,6,6,5,5,6,4,7,5,4,2,5,5,5,4,8,6,6,6,2,8,-26,12,-14,-76,0,40,64,-94,-44,-92,-78,8,20,56,-24,-88,-98,-66,80,-46,-54,2,-16,-12,40,-14,-22,25,-30,-12,2,-116,-40,-22,-76,4,34,-12,-24,44,106,58,-12,0,-86,46,26,-4,-134,-20,-28,-2,50,72,-8,28,62,-92,114
0.1.18,0.4966101694915254,0.4745762711864407,-768,267,26,297,61462.71186440678,590,36263.0,10,100,4,3,6,4,4,3,4,4,2,5,4,6,2,6,3,7,5,5,5,6,5,3,6,4,3,5,6,8,5,6,5,4,4,7,6,5,8,6,3,7,6,5,7,6,5,5,2,4,6,7,5,6,1,4,5,4,5,8,8,2,3,6,4,4,2,4,3,1,4,3,4,1,6,3,7,5,5,5,6,5,3,4,4,3,4,6,8,5,6,3,4,4,6,6,4,8,5,2,7,5,5,7,5,5,5,2,4,5,6,5,6,1,4,3,4,5,8,7,-32,-61,4,-60,-43,-100,-14,-34,-154,-18,-124,-8,-94,64,-42,100,-10,-12,-7,24,-26,-45,-46,-42,-14,-14,-30,112,34,4,-14,-60,-30,30,4,34,136,0,-134,48,30,-45,60,24,-64,8,-84,-40,28,18,56,-34,-188,-45,-10,-68,50,152,58
0.1.18,0.5305084745762711,0.5050847457627119,269,283,30,277,54083.05084745763,590,31909.0,10,100,4,6,2,8,8,4,5,5,7,4,5,9,7,9,4,4,6,5,7,6,3,6,5,5,5,7,4,7,7,5,4,5,7,2,5,7,6,7,3,6,8,7,3,4,5,3,3,4,5,6,7,4,3,4,6,5,4,7,4,4,5,1,7,7,3,4,5,6,4,5,8,7,9,4,4,6,5,5,4,3,6,5,4,4,7,4,7,6,5,4,5,7,1,5,6,6,7,3,5,6,5,3,4,5,3,3,3,5,5,7,3,3,3,5,4,4,5,4,-34,-14,-80,130,72,-46,-43,0,68,0,-52,106,108,122,-20,-76,30,46,72,30,-40,4,-14,22,4,28,-66,116,84,-2,-78,20,-18,-114,2,36,18,112,-32,-24,54,20,-64,-4,36,-84,-80,-78,32,36,73,22,-62,-82,20,4,-56,51,-46
