Version, Total Wins + Draws Proportion, Total Wins + 1/2 * Draws Proportion, Total Score Difference, Total Wins, Total Draws, Total Losses, Time Per 1000 runs (ms), Total Runs, Total Time (ms), Runs Per Update, Iterations Per Look Ahead, m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59
0.1.27,0.49604,0.475435,-83188,45483,4121,50396,370.79,100000,37079.0,10000,100,4994,5021,4919,5020,4970,4918,5027,4954,4861,4920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4604,4595,4547,4601,4530,4510,4582,4568,4452,4494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7038,-6208,-9044,-6811,-8745,-8519,-6065,-8825,-12447,-9486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1.27,0.49987,0.47876,-76947,45765,4222,50013,360.44,100000,36044.0,10000,100,5082,5033,5005,5042,5038,4939,4958,4981,4977,4932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4668,4594,4568,4604,4602,4507,4547,4594,4551,4530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5801,-7809,-7612,-6544,-6976,-11548,-8418,-5780,-8987,-7472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1.27,0.49792,0.47769,-78125,45746,4046,50208,383.78,100000,38378.0,10000,100,4952,4995,4972,4981,4986,5047,4967,5007,4913,4972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4544,4607,4566,4583,4551,4667,4565,4590,4486,4587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9692,-7082,-8582,-8147,-8043,-5385,-6532,-6830,-10786,-7046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1.27_2,0.4958,0.47477,-82170,45374,4206,50420,375.65,100000,37565.0,10000,100,4983,4931,4952,4941,4899,4989,4961,4900,5075,4949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4558,4499,4565,4501,4455,4581,4527,4465,4687,4536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9101,-10155,-7205,-8512,-9437,-7378,-8106,-10517,-2999,-8760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1.27_2,0.49158,0.47077,-99964,44996,4162,50842,387.59,100000,38759.0,10000,100,4952,4976,4977,4830,4943,4885,4876,4883,4942,4894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4552,4527,4578,4453,4499,4492,4451,4455,4528,4461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9470,-8752,-8956,-11648,-7258,-10711,-11587,-12330,-10127,-9125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1.27_2,0.49736,0.476875,-84088,45639,4097,50264,384.49,100000,38449.0,10000,100,4952,4983,4932,4985,4941,5035,5001,5009,4919,4979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4540,4574,4522,4569,4545,4616,4564,4579,4530,4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8832,-9128,-11074,-9486,-8611,-7592,-6309,-6398,-7654,-9004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1.27_2,0.49435,0.473265,-90512,45218,4217,50565,375.14,100000,37514.0,10000,100,4936,4996,4963,4939,4941,4904,4908,4951,4931,4966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4528,4594,4530,4505,4505,4473,4508,4526,4519,4530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10008,-6968,-9639,-7741,-7837,-11685,-9722,-8743,-8312,-9857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1.27_2,0.49301,0.472685,-101681,45236,4065,50699,378.06,100000,37806.0,10000,100,4943,4942,5050,4869,4875,4961,4838,4875,5077,4871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4506,4536,4639,4501,4485,4515,4454,4462,4674,4464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8828,-9651,-6234,-14467,-10362,-10387,-12819,-12181,-6684,-10068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1.27_2,0.49511,0.474205,-93208,45330,4181,50489,369.69,100000,36969.0,10000,100,4937,4959,4946,5021,4924,5001,4887,4956,4928,4952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4531,4517,4528,4625,4491,4559,4464,4560,4529,4526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9909,-10031,-7941,-5525,-10131,-7626,-13170,-9424,-10167,-9284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1.27_2,0.49576,0.474625,-85360,45349,4227,50424,372.77,100000,37277.0,10000,100,4887,4951,4955,5019,4986,4964,4994,4953,4919,4948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4496,4529,4544,4592,4552,4526,4586,4530,4471,4523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9966,-8477,-8360,-6897,-8186,-10360,-6944,-6103,-11186,-8881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
